Year,Trimester,Classification
1987,SON,El Nino
1987,OND,El Nino
1987,NDJ,El Nino
1988,DJF,El Nino
1988,JFM,El Nino
1988,FMA,Regular
1988,MAM,Regular
1988,AMJ,La Nina
1988,MJJ,La Nina
1988,JJA,La Nina
1988,JAS,La Nina
1988,ASO,La Nina
1988,SON,La Nina
1988,OND,La Nina
1988,NDJ,La Nina
1989,DJF,La Nina
1989,JFM,La Nina
1989,FMA,La Nina
1989,MAM,La Nina
1989,AMJ,La Nina
1989,MJJ,Regular
1989,JJA,Regular
1989,JAS,Regular
1989,ASO,Regular
1989,SON,Regular
1989,OND,Regular
1989,NDJ,Regular
1990,DJF,Regular
1990,JFM,Regular
1990,FMA,Regular
1990,MAM,Regular
1990,AMJ,Regular
1990,MJJ,Regular
1990,JJA,Regular
1990,JAS,Regular
1990,ASO,Regular
1990,SON,Regular
1990,OND,Regular
1990,NDJ,Regular
1991,DJF,Regular
1991,JFM,Regular
1991,FMA,Regular
1991,MAM,Regular
1991,AMJ,Regular
1991,MJJ,El Nino
1991,JJA,El Nino
1991,JAS,El Nino
1991,ASO,El Nino
1991,SON,El Nino
1991,OND,El Nino
1991,NDJ,El Nino
1992,DJF,El Nino
1992,JFM,El Nino
1992,FMA,El Nino
1992,MAM,El Nino
1992,AMJ,El Nino
1992,MJJ,El Nino
1992,JJA,El Nino
1992,JAS,Regular
1992,ASO,Regular
1992,SON,Regular
1992,OND,Regular
1992,NDJ,Regular
1993,DJF,Regular
1993,JFM,Regular
1993,FMA,Regular
1993,MAM,Regular
1993,AMJ,Regular
1993,MJJ,Regular
1993,JJA,Regular
1993,JAS,Regular
1993,ASO,Regular
1993,SON,Regular
1993,OND,Regular
1993,NDJ,Regular
1994,DJF,Regular
1994,JFM,Regular
1994,FMA,Regular
1994,MAM,Regular
1994,AMJ,Regular
1994,MJJ,Regular
1994,JJA,Regular
1994,JAS,Regular
1994,ASO,Regular
1994,SON,El Nino
1994,OND,El Nino
1994,NDJ,El Nino
1995,DJF,El Nino
1995,JFM,El Nino
1995,FMA,El Nino
1995,MAM,Regular
1995,AMJ,Regular
1995,MJJ,Regular
1995,JJA,Regular
1995,JAS,La Nina
1995,ASO,La Nina
1995,SON,La Nina
1995,OND,La Nina
1995,NDJ,La Nina
1996,DJF,La Nina
1996,JFM,La Nina
1996,FMA,La Nina
1996,MAM,Regular
1996,AMJ,Regular
1996,MJJ,Regular
1996,JJA,Regular
1996,JAS,Regular
1996,ASO,Regular
1996,SON,Regular
1996,OND,Regular
1996,NDJ,Regular
1997,DJF,Regular
1997,JFM,Regular
1997,FMA,Regular
1997,MAM,Regular
1997,AMJ,El Nino
1997,MJJ,El Nino
1997,JJA,El Nino
1997,JAS,El Nino
1997,ASO,El Nino
1997,SON,El Nino
1997,OND,El Nino
1997,NDJ,El Nino
1998,DJF,El Nino
1998,JFM,El Nino
1998,FMA,El Nino
1998,MAM,El Nino
1998,AMJ,El Nino
1998,MJJ,Regular
1998,JJA,La Nina
1998,JAS,La Nina
1998,ASO,La Nina
1998,SON,La Nina
1998,OND,La Nina
1998,NDJ,La Nina
1999,DJF,La Nina
1999,JFM,La Nina
1999,FMA,La Nina
1999,MAM,La Nina
1999,AMJ,La Nina
1999,MJJ,La Nina
1999,JJA,La Nina
1999,JAS,La Nina
1999,ASO,La Nina
1999,SON,La Nina
1999,OND,La Nina
1999,NDJ,La Nina
2000,DJF,La Nina
2000,JFM,La Nina
2000,FMA,La Nina
2000,MAM,La Nina
2000,AMJ,La Nina
2000,MJJ,La Nina
2000,JJA,La Nina
2000,JAS,La Nina
2000,ASO,La Nina
2000,SON,La Nina
2000,OND,La Nina
2000,NDJ,La Nina
2001,DJF,La Nina
2001,JFM,La Nina
2001,FMA,Regular
2001,MAM,Regular
2001,AMJ,Regular
2001,MJJ,Regular
2001,JJA,Regular
2001,JAS,Regular
2001,ASO,Regular
2001,SON,Regular
2001,OND,Regular
2001,NDJ,Regular
2002,DJF,Regular
2002,JFM,Regular
2002,FMA,Regular
2002,MAM,Regular
2002,AMJ,Regular
2002,MJJ,El Nino
2002,JJA,El Nino
2002,JAS,El Nino
2002,ASO,El Nino
2002,SON,El Nino
2002,OND,El Nino
2002,NDJ,El Nino
2003,DJF,El Nino
2003,JFM,El Nino
2003,FMA,Regular
2003,MAM,Regular
2003,AMJ,Regular
2003,MJJ,Regular
2003,JJA,Regular
2003,JAS,Regular
2003,ASO,Regular
2003,SON,Regular
2003,OND,Regular
2003,NDJ,Regular
2004,DJF,Regular
2004,JFM,Regular
2004,FMA,Regular
2004,MAM,Regular
2004,AMJ,Regular
2004,MJJ,Regular
2004,JJA,El Nino
2004,JAS,El Nino
2004,ASO,El Nino
2004,SON,El Nino
2004,OND,El Nino
2004,NDJ,El Nino
2005,DJF,El Nino
2005,JFM,El Nino
2005,FMA,El Nino
2005,MAM,El Nino
2005,AMJ,Regular
2005,MJJ,Regular
2005,JJA,Regular
2005,JAS,Regular
2005,ASO,Regular
2005,SON,Regular
2005,OND,Regular
2005,NDJ,Regular
2006,DJF,Regular
2006,JFM,Regular
2006,FMA,Regular
2006,MAM,Regular
2006,AMJ,Regular
2006,MJJ,Regular
2006,JJA,Regular
2006,JAS,Regular
2006,ASO,El Nino
2006,SON,El Nino
2006,OND,El Nino
2006,NDJ,El Nino
2007,DJF,El Nino
2007,JFM,Regular
2007,FMA,Regular
2007,MAM,Regular
2007,AMJ,Regular
2007,MJJ,Regular
2007,JJA,Regular
2007,JAS,La Nina
2007,ASO,La Nina
2007,SON,La Nina
2007,OND,La Nina
2007,NDJ,La Nina
2008,DJF,La Nina
2008,JFM,La Nina
2008,FMA,La Nina
2008,MAM,La Nina
2008,AMJ,La Nina
2008,MJJ,La Nina
2008,JJA,Regular
2008,JAS,Regular
2008,ASO,Regular
2008,SON,Regular
2008,OND,Regular
2008,NDJ,Regular
2009,DJF,Regular
2009,JFM,Regular
2009,FMA,Regular
2009,MAM,Regular
2009,AMJ,Regular
2009,MJJ,Regular
2009,JJA,El Nino
2009,JAS,El Nino
2009,ASO,El Nino
2009,SON,El Nino
2009,OND,El Nino
2009,NDJ,El Nino
2010,DJF,El Nino
2010,JFM,El Nino
2010,FMA,El Nino
2010,MAM,El Nino
2010,AMJ,Regular
2010,MJJ,Regular
2010,JJA,La Nina
2010,JAS,La Nina
2010,ASO,La Nina
2010,SON,La Nina
2010,OND,La Nina
2010,NDJ,La Nina
2011,DJF,La Nina
2011,JFM,La Nina
2011,FMA,La Nina
2011,MAM,La Nina
2011,AMJ,Regular
2011,MJJ,Regular
2011,JJA,Regular
2011,JAS,La Nina
2011,ASO,La Nina
2011,SON,La Nina
2011,OND,La Nina
2011,NDJ,La Nina
2012,DJF,La Nina
2012,JFM,La Nina
2012,FMA,Regular
2012,MAM,Regular
2012,AMJ,Regular
2012,MJJ,Regular
2012,JJA,Regular
2012,JAS,Regular
2012,ASO,Regular
2012,SON,Regular
2012,OND,Regular
2012,NDJ,Regular
2013,DJF,Regular
2013,JFM,Regular
2013,FMA,Regular
2013,MAM,Regular
2013,AMJ,Regular
2013,MJJ,Regular
2013,JJA,Regular
2013,JAS,Regular
2013,ASO,Regular
2013,SON,Regular
2013,OND,Regular
2013,NDJ,Regular
2014,DJF,Regular
2014,JFM,Regular
2014,FMA,Regular
2014,MAM,Regular
2014,AMJ,Regular
2014,MJJ,Regular
2014,JJA,Regular
2014,JAS,Regular
2014,ASO,Regular
2014,SON,Regular
2014,OND,El Nino
2014,NDJ,El Nino
2015,DJF,El Nino
2015,JFM,El Nino
2015,FMA,El Nino
2015,MAM,El Nino
2015,AMJ,El Nino
2015,MJJ,El Nino
2015,JJA,El Nino
2015,JAS,El Nino
2015,ASO,El Nino
2015,SON,El Nino
2015,OND,El Nino
2015,NDJ,El Nino
2016,DJF,El Nino
2016,JFM,El Nino
2016,FMA,El Nino
2016,MAM,El Nino
2016,AMJ,El Nino
2016,MJJ,Regular
2016,JJA,Regular
2016,JAS,La Nina
2016,ASO,La Nina
2016,SON,La Nina
2016,OND,La Nina
2016,NDJ,La Nina
