STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:USC00209014,200.9,42.08333,-83.58333,19700518,0.00,-9999,72,36
GHCND:USC00209014,200.9,42.08333,-83.58333,19700519,0.00,-9999,83,55
GHCND:USC00209014,200.9,42.08333,-83.58333,19700520,0.00,-9999,78,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700521,0.00,-9999,84,49
GHCND:USC00209014,200.9,42.08333,-83.58333,19700522,0.00,-9999,85,64
GHCND:USC00209014,200.9,42.08333,-83.58333,19700523,1.82,-9999,69,55
GHCND:USC00209014,200.9,42.08333,-83.58333,19700524,0.22,-9999,66,54
GHCND:USC00209014,200.9,42.08333,-83.58333,19700525,0.17,-9999,80,58
GHCND:USC00209014,200.9,42.08333,-83.58333,19700526,0.00,-9999,65,45
GHCND:USC00209014,200.9,42.08333,-83.58333,19700527,0.00,-9999,63,39
GHCND:USC00209014,200.9,42.08333,-83.58333,19700528,0.00,-9999,65,51
GHCND:USC00209014,200.9,42.08333,-83.58333,19700529,0.00,-9999,77,49
GHCND:USC00209014,200.9,42.08333,-83.58333,19700530,0.00,-9999,81,59
GHCND:USC00209014,200.9,42.08333,-83.58333,19700531,0.18,-9999,71,65
GHCND:USC00209014,200.9,42.08333,-83.58333,19700601,0.25,-9999,80,65
GHCND:USC00209014,200.9,42.08333,-83.58333,19700602,0.00,-9999,76,56
GHCND:USC00209014,200.9,42.08333,-83.58333,19700603,0.13,-9999,65,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700604,0.00,-9999,66,44
GHCND:USC00209014,200.9,42.08333,-83.58333,19700605,0.00,-9999,74,56
GHCND:USC00209014,200.9,42.08333,-83.58333,19700606,0.00,-9999,77,45
GHCND:USC00209014,200.9,42.08333,-83.58333,19700607,0.00,-9999,83,49
GHCND:USC00209014,200.9,42.08333,-83.58333,19700608,0.00,-9999,86,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700609,0.00,-9999,87,55
GHCND:USC00209014,200.9,42.08333,-83.58333,19700610,0.01,-9999,86,59
GHCND:USC00209014,200.9,42.08333,-83.58333,19700611,0.00,-9999,87,59
GHCND:USC00209014,200.9,42.08333,-83.58333,19700612,0.15,-9999,84,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700613,0.25,-9999,71,59
GHCND:USC00209014,200.9,42.08333,-83.58333,19700614,0.38,-9999,80,55
GHCND:USC00209014,200.9,42.08333,-83.58333,19700615,0.01,-9999,81,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700616,0.19,-9999,84,63
GHCND:USC00209014,200.9,42.08333,-83.58333,19700617,0.11,-9999,87,67
GHCND:USC00209014,200.9,42.08333,-83.58333,19700618,0.05,-9999,81,65
GHCND:USC00209014,200.9,42.08333,-83.58333,19700619,0.00,-9999,66,48
GHCND:USC00209014,200.9,42.08333,-83.58333,19700620,0.00,-9999,69,39
GHCND:USC00209014,200.9,42.08333,-83.58333,19700621,0.33,-9999,68,52
GHCND:USC00209014,200.9,42.08333,-83.58333,19700622,0.00,-9999,78,46
GHCND:USC00209014,200.9,42.08333,-83.58333,19700623,0.00,-9999,80,48
GHCND:USC00209014,200.9,42.08333,-83.58333,19700624,0.13,-9999,82,59
GHCND:USC00209014,200.9,42.08333,-83.58333,19700625,0.00,-9999,69,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19700626,0.42,-9999,64,51
GHCND:USC00209014,200.9,42.08333,-83.58333,19700627,0.00,-9999,74,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19700628,0.00,-9999,76,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19700629,0.04,-9999,87,63
GHCND:USC00209014,200.9,42.08333,-83.58333,19700630,0.00,-9999,93,74
GHCND:USC00209014,200.9,42.08333,-83.58333,19700701,0.00,-9999,92,64
GHCND:USC00209014,200.9,42.08333,-83.58333,19700702,0.08,-9999,87,70
GHCND:USC00209014,200.9,42.08333,-83.58333,19700703,0.08,-9999,89,65
GHCND:USC00209014,200.9,42.08333,-83.58333,19700704,0.01,-9999,72,59
GHCND:USC00209014,200.9,42.08333,-83.58333,19700705,0.00,-9999,78,52
GHCND:USC00209014,200.9,42.08333,-83.58333,19700706,0.00,-9999,80,48
GHCND:USC00209014,200.9,42.08333,-83.58333,19700707,0.00,-9999,83,53
GHCND:USC00209014,200.9,42.08333,-83.58333,19700708,0.41,-9999,72,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700709,0.00,-9999,76,55
GHCND:USC00209014,200.9,42.08333,-83.58333,19700710,0.10,-9999,72,62
GHCND:USC00209014,200.9,42.08333,-83.58333,19700711,0.00,-9999,83,61
GHCND:USC00209014,200.9,42.08333,-83.58333,19700712,0.00,-9999,87,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700713,0.02,-9999,88,63
GHCND:USC00209014,200.9,42.08333,-83.58333,19700714,0.64,-9999,86,67
GHCND:USC00209014,200.9,42.08333,-83.58333,19700715,0.11,-9999,84,68
GHCND:USC00209014,200.9,42.08333,-83.58333,19700716,0.04,-9999,81,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700717,0.00,-9999,84,54
GHCND:USC00209014,200.9,42.08333,-83.58333,19700718,0.30,-9999,80,64
GHCND:USC00209014,200.9,42.08333,-83.58333,19700719,0.29,-9999,76,59
GHCND:USC00209014,200.9,42.08333,-83.58333,19700720,0.89,-9999,62,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700721,0.00,-9999,76,45
GHCND:USC00209014,200.9,42.08333,-83.58333,19700722,0.00,-9999,78,45
GHCND:USC00209014,200.9,42.08333,-83.58333,19700723,0.09,-9999,74,51
GHCND:USC00209014,200.9,42.08333,-83.58333,19700724,0.00,-9999,80,66
GHCND:USC00209014,200.9,42.08333,-83.58333,19700725,0.07,-9999,86,61
GHCND:USC00209014,200.9,42.08333,-83.58333,19700726,0.00,-9999,88,62
GHCND:USC00209014,200.9,42.08333,-83.58333,19700727,0.19,-9999,84,67
GHCND:USC00209014,200.9,42.08333,-83.58333,19700728,0.01,-9999,88,69
GHCND:USC00209014,200.9,42.08333,-83.58333,19700729,0.00,-9999,87,67
GHCND:USC00209014,200.9,42.08333,-83.58333,19700730,0.17,-9999,82,69
GHCND:USC00209014,200.9,42.08333,-83.58333,19700731,0.00,-9999,87,67
GHCND:USC00209014,200.9,42.08333,-83.58333,19700801,0.27,-9999,85,65
GHCND:USC00209014,200.9,42.08333,-83.58333,19700802,0.00,-9999,83,54
GHCND:USC00209014,200.9,42.08333,-83.58333,19700803,0.08,-9999,80,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700804,0.00,-9999,73,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19700805,0.00,-9999,78,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700806,0.00,-9999,81,58
GHCND:USC00209014,200.9,42.08333,-83.58333,19700807,0.00,-9999,81,52
GHCND:USC00209014,200.9,42.08333,-83.58333,19700808,0.00,-9999,81,55
GHCND:USC00209014,200.9,42.08333,-83.58333,19700809,0.00,-9999,82,62
GHCND:USC00209014,200.9,42.08333,-83.58333,19700810,0.00,-9999,81,62
GHCND:USC00209014,200.9,42.08333,-83.58333,19700811,0.00,-9999,85,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700812,0.00,-9999,88,57
GHCND:USC00209014,200.9,42.08333,-83.58333,19700813,0.00,-9999,87,57
GHCND:USC00209014,200.9,42.08333,-83.58333,19700814,0.00,-9999,87,57
